  n,  i,    x,    ϕ^(n),      δr^(n),    J^(n), ϕavg^(n)
  0,  1, 0.00,  0.14746, -.21065E-34, -0.10968,  0.15879
  0,  2, 0.10,  0.17079, 0.60185E-35, -0.12556,  0.18426
  0,  3, 0.20,  0.19856, 0.18056E-34, -0.14399,  0.21474
  0,  4, 0.30,  0.23199, -.90278E-35, -0.16546,  0.25170
  0,  5, 0.40,  0.27284, 0.30093E-35, -0.19063,  0.29732
  0,  6, 0.50,  0.32377, 0.30093E-34, -0.22036,  0.35491
  0,  7, 0.60,  0.38886, -.36111E-34, -0.25585,  0.42965
  0,  8, 0.70,  0.47460, -.48148E-34, -0.29882,  0.52987
  0,  9, 0.80,  0.59152, 0.60185E-34, -0.35180,  0.66922
  0, 10, 0.90,  0.75698, -.48148E-34, -0.41873,  0.87038
  1,  1, 0.00,  0.02274, -.19768E-12, -0.01178,  0.02578
  1,  2, 0.10,  0.02870, -.22938E-12, -0.01118,  0.03145
  1,  3, 0.20,  0.03415, -.26733E-12, -0.01064,  0.03678
  1,  4, 0.30,  0.03941, -.31334E-12, -0.01002,  0.04202
  1,  5, 0.40,  0.04464, -.37014E-12, -0.00919,  0.04725
  1,  6, 0.50,  0.04985, -.44183E-12, -0.00797,  0.05237
  1,  7, 0.60,  0.05483, -.53487E-12, -0.00611,  0.05704
  1,  8, 0.70,  0.05906, -.65964E-12, -0.00322,  0.06044
  1,  9, 0.80,  0.06137, -.83312E-12,  0.00133,  0.06088
  1, 10, 0.90,  0.05940, -.10835E-11,  0.00863,  0.05499
  2,  1, 0.00,  0.00324, -.32092E-13, -0.00161,  0.00370
  2,  2, 0.10,  0.00413, -.39150E-13, -0.00146,  0.00452
  2,  3, 0.20,  0.00489, -.45790E-13, -0.00128,  0.00523
  2,  4, 0.30,  0.00555, -.52312E-13, -0.00107,  0.00583
  2,  5, 0.40,  0.00609, -.58819E-13, -0.00081,  0.00632
  2,  6, 0.50,  0.00651, -.65197E-13, -0.00050,  0.00666
  2,  7, 0.60,  0.00677, -.71011E-13, -0.00012,  0.00680
  2,  8, 0.70,  0.00679, -.75243E-13,  0.00034,  0.00667
  2,  9, 0.80,  0.00649, -.75785E-13,  0.00088,  0.00618
  2, 10, 0.90,  0.00578, -.68455E-13,  0.00148,  0.00522
  3,  1, 0.00,  0.00043, -.46043E-14, -0.00021,  0.00049
  3,  2, 0.10,  0.00055, -.56283E-14, -0.00018,  0.00060
  3,  3, 0.20,  0.00065, -.65100E-14, -0.00015,  0.00069
  3,  4, 0.30,  0.00072, -.72589E-14, -0.00012,  0.00075
  3,  5, 0.40,  0.00078, -.78632E-14, -0.00008,  0.00080
  3,  6, 0.50,  0.00081, -.82868E-14, -0.00003,  0.00082
  3,  7, 0.60,  0.00082, -.84661E-14,  0.00002,  0.00081
  3,  8, 0.70,  0.00080, -.83074E-14,  0.00008,  0.00077
  3,  9, 0.80,  0.00074, -.76905E-14,  0.00013,  0.00069
  3, 10, 0.90,  0.00064, -.64943E-14,  0.00019,  0.00058
  4,  1, 0.00,  0.00005, -.61185E-15, -0.00003,  0.00006
  4,  2, 0.10,  0.00007, -.74625E-15, -0.00002,  0.00008
  4,  3, 0.20,  0.00008, -.85500E-15, -0.00002,  0.00009
  4,  4, 0.30,  0.00009, -.93822E-15, -0.00001,  0.00009
  4,  5, 0.40,  0.00010, -.99421E-15, -0.00001,  0.00010
  4,  6, 0.50,  0.00010, -.10197E-14, -0.00000,  0.00010
  4,  7, 0.60,  0.00010, -.10099E-14,  0.00000,  0.00010
  4,  8, 0.70,  0.00010, -.95959E-15,  0.00001,  0.00009
  4,  9, 0.80,  0.00009, -.86325E-15,  0.00002,  0.00008
  4, 10, 0.90,  0.00008, -.71695E-15,  0.00002,  0.00007
  5,  1, 0.00,  0.00001, -.78104E-16, -0.00000,  0.00001
  5,  2, 0.10,  0.00001, -.95082E-16, -0.00000,  0.00001
  5,  3, 0.20,  0.00001, -.10831E-15, -0.00000,  0.00001
  5,  4, 0.30,  0.00001, -.11780E-15, -0.00000,  0.00001
  5,  5, 0.40,  0.00001, -.12340E-15, -0.00000,  0.00001
  5,  6, 0.50,  0.00001, -.12487E-15, -0.00000,  0.00001
  5,  7, 0.60,  0.00001, -.12195E-15,  0.00000,  0.00001
  5,  8, 0.70,  0.00001, -.11432E-15,  0.00000,  0.00001
  5,  9, 0.80,  0.00001, -.10175E-15,  0.00000,  0.00001
  5, 10, 0.90,  0.00001, -.84065E-16,  0.00000,  0.00001
