  i,         δR*
  1, -.68470E-08
  2, -.68470E-08
  3, -.68470E-08
  4, -.68470E-08
  5, -.68470E-08
  6, -.68470E-08
  7, -.68470E-08
  8, -.68470E-08
  9, -.68470E-08
 10, -.68470E-08
 11, -.68470E-08
 12, 0.79445E-33
 13, 0.13241E-33
 14, -.13241E-33
 15, 0.00000E+00
 16, 0.00000E+00
 17, 0.00000E+00
 18, 0.00000E+00
 19, 0.00000E+00
 20, 0.00000E+00
 21, 0.00000E+00
 22, 0.00000E+00
 23, 0.00000E+00
 24, 0.00000E+00
 25, 0.00000E+00
 26, -.16879E-02
 27, -.22014E-02
 28, -.24811E-02
 29, -.25257E-02
 30, -.23222E-02
 31, -.12003E-02
 32, -.99864E-03
 33, -.85101E-03
 34, -.73187E-03
 35, -.62969E-03
 36, -.53879E-03
 37, -.45584E-03
 38, -.37831E-03
 39, -.30338E-03
