x,              µ, Ψm^(10)
0.00, -.96029E+00, 0.37803
0.00, -.79667E+00, 0.31186
0.00, -.52553E+00, 0.17836
0.00, -.18343E+00, 0.02854
0.00, 0.18343E+00, 0.00000
0.00, 0.52553E+00, 0.00000
0.00, 0.79667E+00, 0.00000
0.00, 0.96029E+00, 0.00000
0.10, -.96029E+00, 0.41744
0.10, -.79667E+00, 0.35104
0.10, -.52553E+00, 0.21178
0.10, -.18343E+00, 0.03554
0.10, 0.18343E+00, 0.00793
0.10, 0.52553E+00, 0.00327
0.10, 0.79667E+00, 0.00223
0.10, 0.96029E+00, 0.00187
0.20, -.96029E+00, 0.46083
0.20, -.79667E+00, 0.39504
0.20, -.52553E+00, 0.25154
0.20, -.18343E+00, 0.04529
0.20, 0.18343E+00, 0.01388
0.20, 0.52553E+00, 0.00653
0.20, 0.79667E+00, 0.00457
0.20, 0.96029E+00, 0.00387
0.30, -.96029E+00, 0.50859
0.30, -.79667E+00, 0.44443
0.30, -.52553E+00, 0.29887
0.30, -.18343E+00, 0.05946
0.30, 0.18343E+00, 0.01887
0.30, 0.52553E+00, 0.00986
0.30, 0.79667E+00, 0.00707
0.30, 0.96029E+00, 0.00603
0.40, -.96029E+00, 0.56111
0.40, -.79667E+00, 0.49985
0.40, -.52553E+00, 0.35521
0.40, -.18343E+00, 0.08079
0.40, 0.18343E+00, 0.02356
0.40, 0.52553E+00, 0.01335
0.40, 0.79667E+00, 0.00978
0.40, 0.96029E+00, 0.00840
0.50, -.96029E+00, 0.61883
0.50, -.79667E+00, 0.56200
0.50, -.52553E+00, 0.42229
0.50, -.18343E+00, 0.11387
0.50, 0.18343E+00, 0.02844
0.50, 0.52553E+00, 0.01713
0.50, 0.79667E+00, 0.01277
0.50, 0.96029E+00, 0.01105
0.60, -.96029E+00, 0.68220
0.60, -.79667E+00, 0.63161
0.60, -.52553E+00, 0.50211
0.60, -.18343E+00, 0.16634
0.60, 0.18343E+00, 0.03392
0.60, 0.52553E+00, 0.02135
0.60, 0.79667E+00, 0.01616
0.60, 0.96029E+00, 0.01406
0.70, -.96029E+00, 0.75164
0.70, -.79667E+00, 0.70948
0.70, -.52553E+00, 0.59699
0.70, -.18343E+00, 0.25109
0.70, 0.18343E+00, 0.04044
0.70, 0.52553E+00, 0.02622
0.70, 0.79667E+00, 0.02008
0.70, 0.96029E+00, 0.01756
0.80, -.96029E+00, 0.82757
0.80, -.79667E+00, 0.79637
0.80, -.52553E+00, 0.70958
0.80, -.18343E+00, 0.38977
0.80, 0.18343E+00, 0.04856
0.80, 0.52553E+00, 0.03203
0.80, 0.79667E+00, 0.02476
0.80, 0.96029E+00, 0.02173
0.90, -.96029E+00, 0.91031
0.90, -.79667E+00, 0.89302
0.90, -.52553E+00, 0.84286
0.90, -.18343E+00, 0.61888
0.90, 0.18343E+00, 0.05913
0.90, 0.52553E+00, 0.03925
0.90, 0.79667E+00, 0.03054
0.90, 0.96029E+00, 0.02687
