   x,   Φ^(N), Φavg^(N),       F^(n)
0.00, 0.50000,    0.975, -.25288E+00
0.20, 1.00000,    1.000, -.17730E-05
0.40, 1.00000,    1.000, -.44921E-10
0.60, 1.00000,    1.000, -.13194E-14
0.80, 1.00000,    1.000, -.39508E-19
1.00, 1.00000,    1.000, -.11858E-23
1.20, 1.00000,    1.000, 0.11607E-23
1.40, 1.00000,    1.000, 0.38671E-19
1.60, 1.00000,    1.000, 0.12914E-14
1.80, 1.00000,    1.000, 0.43982E-10
2.00, 1.00000,    0.975, 0.17390E-05
2.20, 0.50230,    0.203, 0.25091E+00
2.40, 0.08151,    0.055, 0.48387E-01
2.60, 0.04698,    0.071, -.71004E-02
2.80, 0.11907,    0.326, -.78230E-01
3.00, 0.85741,    0.857, -.40410E+00
3.20, 0.85741,    0.857, -.40410E+00
3.40, 0.85741,    0.857, -.40410E+00
3.60, 0.85741,    0.857, -.40410E+00
3.80, 0.85741,    0.857, -.40410E+00
4.00, 0.85741,    0.857, -.40410E+00
4.20, 0.85741,    0.857, -.40410E+00
4.40, 0.85741,    0.857, -.40410E+00
4.60, 0.85741,    0.857, -.40410E+00
4.80, 0.85741,    0.857, -.40410E+00
5.00, 0.85741,    1.068, -.40410E+00
5.20, 1.23464,    1.334, -.24699E+00
5.40, 1.40430,    1.427, -.10053E+00
5.60, 1.42628,    1.379, 0.42163E-01
5.80, 1.30508,    1.169, 0.18677E+00
6.00, 0.99335,    0.812, 0.33979E+00
6.20, 0.66534,    0.565, 0.25849E+00
6.40, 0.48020,    0.417, 0.20191E+00
6.60, 0.36231,    0.319, 0.16010E+00
6.80, 0.28008,    0.248, 0.12814E+00
7.00, 0.21923,    0.195, 0.10326E+00
7.20, 0.17253,    0.153, 0.83725E-01
7.40, 0.13577,    0.120, 0.68339E-01
7.60, 0.10613,    0.093, 0.56260E-01
7.80, 0.08135,    0.070, 0.46890E-01
