x,              µ, Ψm^(10)
0.00, -.96029E+00, 0.50000
0.00, -.79667E+00, 0.50000
0.00, -.52553E+00, 0.50000
0.00, -.18343E+00, 0.50000
0.00, 0.18343E+00, 0.00000
0.00, 0.52553E+00, 0.00000
0.00, 0.79667E+00, 0.00000
0.00, 0.96029E+00, 0.00000
0.20, -.96029E+00, 0.50000
0.20, -.79667E+00, 0.50000
0.20, -.52553E+00, 0.50000
0.20, -.18343E+00, 0.50000
0.20, 0.18343E+00, 0.50000
0.20, 0.52553E+00, 0.50000
0.20, 0.79667E+00, 0.50000
0.20, 0.96029E+00, 0.49998
0.40, -.96029E+00, 0.50000
0.40, -.79667E+00, 0.50000
0.40, -.52553E+00, 0.50000
0.40, -.18343E+00, 0.50000
0.40, 0.18343E+00, 0.50000
0.40, 0.52553E+00, 0.50000
0.40, 0.79667E+00, 0.50000
0.40, 0.96029E+00, 0.50000
0.60, -.96029E+00, 0.50000
0.60, -.79667E+00, 0.50000
0.60, -.52553E+00, 0.50000
0.60, -.18343E+00, 0.50000
0.60, 0.18343E+00, 0.50000
0.60, 0.52553E+00, 0.50000
0.60, 0.79667E+00, 0.50000
0.60, 0.96029E+00, 0.50000
0.80, -.96029E+00, 0.50000
0.80, -.79667E+00, 0.50000
0.80, -.52553E+00, 0.50000
0.80, -.18343E+00, 0.50000
0.80, 0.18343E+00, 0.50000
0.80, 0.52553E+00, 0.50000
0.80, 0.79667E+00, 0.50000
0.80, 0.96029E+00, 0.50000
1.00, -.96029E+00, 0.50000
1.00, -.79667E+00, 0.50000
1.00, -.52553E+00, 0.50000
1.00, -.18343E+00, 0.50000
1.00, 0.18343E+00, 0.50000
1.00, 0.52553E+00, 0.50000
1.00, 0.79667E+00, 0.50000
1.00, 0.96029E+00, 0.50000
1.20, -.96029E+00, 0.50000
1.20, -.79667E+00, 0.50000
1.20, -.52553E+00, 0.50000
1.20, -.18343E+00, 0.50000
1.20, 0.18343E+00, 0.50000
1.20, 0.52553E+00, 0.50000
1.20, 0.79667E+00, 0.50000
1.20, 0.96029E+00, 0.50000
1.40, -.96029E+00, 0.50000
1.40, -.79667E+00, 0.50000
1.40, -.52553E+00, 0.50000
1.40, -.18343E+00, 0.50000
1.40, 0.18343E+00, 0.50000
1.40, 0.52553E+00, 0.50000
1.40, 0.79667E+00, 0.50000
1.40, 0.96029E+00, 0.50000
