Linear Power,Log Power,Corrected Power
116.4005149,127.8050672,127.8050672
116.3388745,128.7710501,128.7710501
116.5114677,127.9655596,127.9655596
116.3018902,128.4482473,128.4482473
116.412843,128.7710501,128.7710501
115.8950633,127.5647058,127.5647058
116.5361239,127.644776,127.644776
116.2155936,127.9655596,127.9655596
116.6224205,128.6095474,128.6095474
116.4991396,129.1756947,129.1756947
116.264906,129.4190915,129.4190915
116.3758587,127.8050672,127.8050672
116.4868115,128.1262536,128.1262536
116.3512026,128.6902734,128.6902734
116.3512026,129.0946642,129.0946642
116.2895621,127.7248965,127.7248965
116.4868115,128.3676731,128.3676731
116.5854362,128.5288721,128.5288721
116.3265464,128.6902734,128.6902734
116.5607801,128.0458814,128.0458814
116.6594048,128.4482473,128.4482473
116.8689823,128.6902734,128.6902734
116.6717328,129.1756947,129.1756947
116.7333733,128.2871494,128.2871494
117.0045912,129.0136845,129.0136845
116.7333733,128.2871494,128.2871494
116.3142183,128.2871494,128.2871494
116.7333733,128.6902734,128.6902734
115.7224701,126.8463306,126.8463306
116.2402498,129.4190915,129.4190915
116.277234,130.6429723,130.6429723
115.6485016,127.0853384,127.0853384
116.1539532,128.9327556,128.9327556
115.5868611,127.1651077,127.1651077
116.0306723,128.0458814,128.0458814
116.2279217,128.1262536,128.1262536
115.7964386,128.1262536,128.1262536
116.3142183,128.2871494,128.2871494
115.9320476,127.0056192,127.0056192
115.8210948,126.7667613,126.7667613
115.278659,126.8463306,126.8463306
115.2540028,127.5647058,127.5647058
116.4005149,129.1756947,129.1756947
123.3658864,133.5438931,133.5438931
139.7006225,153.4085533,153.4085533
153.9026166,168.549182,168.549182
163.0131079,180.1412287,180.1412287
180.2971772,197.5480141,197.5480141
198.5305533,219.2350513,219.2350513
213.5216515,236.528888,236.528888
218.785803,241.9327694,241.9327694
225.0238894,249.6435797,249.6435797
232.975609,259.7100709,259.7100709
235.9590474,258.5718197,258.5718197
243.516276,269.1671752,269.1671752
247.3996842,276.7022686,276.7022686
254.5500934,281.2535989,281.2535989
262.5634936,289.3085222,289.3085222
281.6515258,295.7326153,295.7326153
291.6783512,306.693837,306.693837
297.3492613,311.7384841,311.7384841
305.9789082,321.4723447,321.4723447
313.2935622,328.8169008,328.8169008
323.9778901,338.2340102,338.2340102
330.3884878,351.4314689,351.4314689
337.5798644,354.309938,354.309938
344.3192124,360.5900472,360.5900472
354.6747977,371.1499408,371.1499408
363.0578922,381.0614355,381.0614355
371.6875498,389.2785628,389.2785628
383.3581369,403.2007162,403.2007162
389.1523379,407.7805942,407.7805942
401.2749595,425.2898537,425.2898537
409.9457181,429.5811863,429.5811863
418.5342912,443.5509267,443.5509267
427.7803646,453.1155677,453.1155677
437.0675339,459.1258951,459.1258951
450.2996993,476.1432478,476.1432478
459.2992181,487.9391855,487.9391855
468.7918636,489.7797037,489.7797037
480.5857599,503.8067005,503.8067005
492.0920041,516.2879723,516.2879723
504.8310646,532.4087971,532.4087971
513.4607535,534.7525018,534.7525018
528.6243552,553.1827316,553.1827316
539.7607719,567.5991217,567.5991217
551.3492246,580.5668609,580.5668609
562.1158051,589.0064896,589.0064896
577.238337,608.9243739,608.9243739
587.2652375,617.0014249,617.0014249
601.1138723,628.3318777,628.3318777
615.5789226,647.5447711,647.5447711
628.194754,664.8373662,664.8373662
642.0434098,672.3891334,672.3891334
659.1795906,692.9491965,692.9491965
671.9187254,705.2316745,705.2316745
687.1235079,721.3438658,721.3438658
698.5476481,727.7086721,727.7086721
719.217959,758.4789456,758.4789456
730.2311741,758.9550319,758.9550319
747.6961717,783.6358624,783.6358624
761.2161441,796.5255109,796.5255109
779.5852388,815.234858,815.234858
797.9954439,834.3836645,834.3836645
817.0220794,854.5182852,854.5182852
832.5557176,866.3964998,866.3964998
851.9933298,890.6505642,890.6505642
1141.691312,909.8564049,909.8564049
821.9011008,927.1463788,927.1463788
844.091613,949.519475,949.519475
855.6799926,965.7434746,965.7434746
876.5144214,994.0253824,994.0253824
898.9515009,1014.186805,1014.186805
914.6081463,1030.868687,1030.868687
936.6753888,1053.098177,1053.098177
954.4278093,1074.457753,1074.457753
977.2347414,1101.767478,1101.767478
1001.151203,1129.771342,1129.771342
1018.657069,1148.354425,1148.354425
1043.683064,1172.381478,1172.381478
1063.284709,1193.910822,1193.910822
1089.420238,1226.563516,1226.563516
1107.6658,1245.175043,1245.175043
1135.897112,1296.198106,1296.198106
1161.909374,1305.995154,1305.995154
1182.497282,1332.484157,1332.484157
1212.0847,1362.927028,1362.927028
1233.782144,1382.739775,1382.739775
1263.616136,1425.915225,1425.915225
1294.066541,1446.643628,1446.643628
1325.996325,1482.482778,1482.482778
1348.680039,1510.654392,1510.654392
1381.719368,1550.023377,1550.023377
1406.375591,1573.543008,1573.543008
1438.675251,1615.564363,1615.564363
1463.208205,1639.049688,1639.049688
1496.494132,1688.108455,1688.108455
1522.136632,1715.875397,1715.875397
1556.162267,1760.592638,1760.592638
1593.269947,1798.557838,1798.557838
1620.391848,1822.414801,1822.414801
1656.020177,1866.391826,1866.391826
1684.498193,1889.962271,1889.962271
1723.085303,1922.255244,1922.255244
1766.850257,1961.243658,1961.243658
1793.355804,2002.27888,2002.27888
1833.915471,2039.048325,2039.048325
1863.872927,2064.799235,2064.799235
1908.994056,2119.939597,2119.939597
1951.279728,2173.822664,2173.822664
1983.82615,2202.657343,2202.657343
2029.193914,2251.567596,2251.567596
2065.808678,2287.167029,2287.167029
2113.8887,2351.194585,2351.194585
2164.187836,2395.874385,2395.874385
2215.843114,2473.787253,2473.787253
2254.430495,2503.45706,2503.45706
2305.346149,2567.088125,2567.088125
2345.659541,2615.870568,2615.870568
2400.027183,2672.27894,2672.27894
2441.573464,2712.827435,2712.827435
2499.886245,2776.548441,2776.548441
2540.939464,2825.762769,2825.762769
2765.970201,2890.322277,2890.322277
2806.241872,2952.648917,2952.648917
2857.197867,3010.646767,3010.646767
2919.249125,3087.169256,3087.169256
2969.794193,3132.047265,3132.047265
3040.475109,3203.604402,3203.604402
