Pressure Temp  vf        vg         hf      hfg    hg     sf     sfg    sg
0001.0 101.740 0.0161360 333.600000 0063.72 1036.1 1105.8 0.1326 1.8455 1.9781
0005.0 162.240 0.0164070 073.532000 0130.20 1000.9 1131.1 0.2349 1.6094 1.8443
0020.0 227.960 0.0168340 020.087000 0196.27 0960.1 1156.3 0.3358 1.3962 1.7320
0030.0 250.340 0.0170090 013.743600 0218.90 0945.2 1164.1 0.3682 1.3313 1.6995
0040.0 267.250 0.0171510 010.496500 0236.10 0933.6 1169.8 0.3921 1.2844 1.6765
0050.0 281.020 0.0172740 008.514000 0250.20 0923.9 1174.1 0.4112 1.2474 1.6586
0060.0 292.710 0.0173830 007.173600 0262.20 0915.4 1177.6 0.4273 1.2167 1.6440
0070.0 302.930 0.0174820 006.205000 0272.70 0907.8 1180.6 0.4411 1.1905 1.6316
0080.0 312.040 0.0175730 005.471100 0282.10 0900.9 1183.1 0.4534 1.1675 1.6208
0090.0 320.280 0.0176590 004.895300 0290.70 0894.6 1185.3 0.4643 1.1470 1.6113
0100.0 327.820 0.0177400 004.431000 0298.50 0888.6 1187.2 0.4743 1.1284 1.6027
0110.0 334.790 0.0178200 004.048400 0305.80 0883.1 1188.9 0.4834 1.1115 1.5950
0120.0 341.270 0.0178900 003.727500 0312.60 0877.8 1190.4 0.4919 1.0960 1.5879
0130.0 347.330 0.0179600 003.454400 0319.00 0872.8 1191.7 0.4998 1.0815 1.5813
0160.0 363.550 0.0181500 002.833600 0336.10 0859.0 1195.1 0.5206 1.0435 1.5641
0230.0 393.700 0.0185500 001.998460 0368.30 0831.8 1200.1 0.5588 0.9748 1.5336
0240.0 397.390 0.0186000 001.843170 0372.30 0828.4 1200.6 0.5634 0.9665 1.5299
0350.0 431.730 0.0191200 001.325540 0409.80 0794.2 1204.0 0.6059 0.8909 1.4968
0400.0 444.600 0.0193400 001.160950 0424.20 0780.4 1204.6 0.6217 0.8630 1.4847
0550.0 476.940 0.0199400 000.841770 0460.90 0743.3 1204.3 0.6611 0.7936 1.4547
0600.0 486.200 0.0201300 000.769750 0471.70 0732.0 1203.7 0.6723 0.7738 1.4461
0750.0 510.840 0.0206900 000.609490 0500.90 0699.8 1200.7 0.7022 0.7210 1.4232
0800.0 518.210 0.0208700 000.568960 0509.80 0689.6 1199.4 0.7111 0.7051 1.4163
0850.0 525.240 0.0210500 000.533020 0518.40 0679.5 1198.0 0.7197 0.6899 1.4096
0900.0 531.950 0.0212300 000.500900 0526.70 0669.7 1196.4 0.7279 0.6753 1.4032
0950.0 538.390 0.0214100 000.472050 0534.70 0660.0 1194.7 0.7358 0.6612 1.3970
1200.0 567.190 0.0223200 000.362450 0571.90 0613.0 1184.8 0.7714 0.5969 1.3683
1250.0 572.380 0.0225000 000.345560 0578.80 0603.8 1182.5 0.7780 0.5850 1.3630
2200.0 649.450 0.0266900 000.136030 0695.50 0426.7 1122.2 0.8828 0.3848 1.2676
2300.0 655.890 0.0272700 000.151330 0707.20 0406.0 1113.2 0.8929 0.3640 1.2569
2400.0 662.110 0.0279000 000.140760 0719.00 0384.8 1103.7 0.9031 0.3430 1.2460
